asin,title,imgUrl,stars,price,listPrice,category_id
B016P46EKY,"Mt Capra Since 1928 Clean Whey Protein | Grass-Fed Undenatured Goat Whey Protein Powder, 24 g Protein Per Serving, All Natural, NonGMO, High in Branch Chain Amino Acids, Unsweetened - 16 Ounce",https://m.media-amazon.com/images/I/81wdwcOVGFL._AC_UL320_.jpg,0,44.1,0.0,136
B0B3GDX33S,Women's Lightweight Water Resistant Everyday Windbreaker,https://m.media-amazon.com/images/I/81-ew7bwpbL._AC_UL320_.jpg,0,46.9,79.99,116
B004KYU3PE,"Dritz, 1/4-Inch by 3-Yards, White Knit Elastic",https://m.media-amazon.com/images/I/61ASkZsgz-L._AC_UL320_.jpg,0,5.23,5.77,6
B0C7KVXBS2,Womens Linen Pants with Pockets High Waist Comfy White Gauze Pants Casua Lightweight Loose Trousers,https://m.media-amazon.com/images/I/51S8Z1aTRqL._AC_UL320_.jpg,0,32.99,0.0,116
B0B58DWLH9,VTech Squishy Lights Learning Tablet,https://m.media-amazon.com/images/I/71lSpz0SzXL._AC_UL320_.jpg,0,16.98,0.0,270
B0C7GTKGMS,STEM Science Robotics Kit 6 Set Electronic Science Experiments Projects Activities for Kids DIY Engineering Building Kit Age 6-8 8-12 Motor Robot Toy for 6 7 8 9 10 11 12 + Years Old Boys Girls Gift,https://m.media-amazon.com/images/I/81KhuUWwtwL._AC_UL320_.jpg,0,24.99,0.0,270
B07X1V3TDD,WILD! Science Test Tube Chemistry Lab - 50+ Fun Experiments and Reactions - Science Kits for Kids Age 8-12 - STEM Projects - Chemistry Set,https://m.media-amazon.com/images/I/918PkV9A88L._AC_UL320_.jpg,0,14.99,0.0,270
B08ZL98PR6,Bamboo Ankle Socks with back Heel Tab for Men Low Cut Cool Comfort Fit Athletic Performance 6 pair pack,https://m.media-amazon.com/images/I/71CnX--hNwL._AC_UL320_.jpg,0,24.99,0.0,110
B0BG9SZRX4,"TV Antenna, Digital TV Antenna for Smart TV Indoor, Long Range & 360° Reception HDTV Antenna with Strong Magnetic Base for Easy Installation, Support All 4K 1080p HDTV",https://m.media-amazon.com/images/I/81oLYbOn0gL._AC_UL320_.jpg,0,18.99,19.99,69
B09SFT71HK,Womens Plus Size Tunic Tops Summer Short Sleeve V Neck/Crew Neck Loose Casual Tee Shirt(1X-5X),https://m.media-amazon.com/images/I/71MgDx78wAS._AC_UL320_.jpg,0,26.99,0.0,116
B07DFT2JYB,"Womens One Fab Fit Underwire Bra, Demi T-Shirt Bra, Convertible Bras for Women",https://m.media-amazon.com/images/I/713gNX6godL._AC_UL320_.jpg,0,22.99,48.0,116
B08J88NV25,"Honey-Can-Do 24-Pocket Over-The-Door Shoe Rack and Organizer, Bamboo SFT-09269 Natural, 15 lbs",https://m.media-amazon.com/images/I/71waTDTm+wL._AC_UL320_.jpg,0,13.55,15.99,166
B07T3CB9LG,Women 2 Piece Workout Outfits Sports Bra Seamless Leggings Yoga Gym Activewear Set,https://m.media-amazon.com/images/I/51qh6ol188L._AC_UL320_.jpg,0,23.18,28.98,116
B00AWB13E4,Postpartum Tummy Control Panty Adjustable Belly Band Motherhood Maternity C-Section Underwear,https://m.media-amazon.com/images/I/51yOBsLtjXL._AC_UL320_.jpg,0,50.0,0.0,116
B07ZJPN5WD,"Replacement Ear Pads for Beats Studio 2.0 & 3.0 Wired/Wireless B0500 / B0501 - Extreme Comfort Ear Cushions Replacement kit Noise Isolation Adaptive Memory Foam Ear Cover, 2 Peices (Black)",https://m.media-amazon.com/images/I/61fnfrXn78L._AC_UL320_.jpg,0,9.99,0.0,75
B0BPXJWJXB,Women's Solid Wavy Edge One-Shoulder Bikini Set Rain of Petals,https://m.media-amazon.com/images/I/71kQRABRr-L._MCnd_AC_UL320_.jpg,0,34.99,0.0,116
B0C73YQPWM,"W&O Wireless Controller Compatible With Xbox One, Xbox Series X/S, Xbox One X/S、PC with 2.4GHZ Wireless Adapter Gamepad （Electric Volt）",https://m.media-amazon.com/images/I/61xkC9dzdYL._AC_UY218_.jpg,0,35.99,0.0,255
B0B82YNZ3X,"Men's Icon X Pattern Hoodie, Fishing Shirt with Sun Protection",https://m.media-amazon.com/images/I/810syVps6rL._AC_UL320_.jpg,0,39.0,65.0,110
B0CBVJQSSH,"Momcozy Nursing Bras for Breastfeeding, FB039 Comfort Support Seamless Maternity Bra, Pregnancy Sleep Bralette, Full-Coverage",https://m.media-amazon.com/images/I/61ABKSnPzcL._AC_UL320_.jpg,0,74.99,0.0,116
B0C62YQDDK,Men's Rocco Double Raised Super T Flap Skinny Jean,https://m.media-amazon.com/images/I/91UFrk1S55L._AC_UL320_.jpg,0,249.0,0.0,110
B08HWPKH9J,Disney Mickey Mouse Puzzle for Kids Ages 4-8 in a Metal Box 60 Piece for Girls and Boys Great Christmas Puzzles Gifts for Children(Mickey Mouse),https://m.media-amazon.com/images/I/71dwQd5GFxL._AC_UL320_.jpg,0,9.99,12.99,227
B0002DO1RI,"MAC Studio Fix Powder Plus Foundation NC35 for Women, 0.52 Ounce (Studio Fix NC35)",https://m.media-amazon.com/images/I/61WEa05eJmL._AC_UL320_.jpg,0,29.99,38.0,48
B0C5M1VW1B,Wooden Thick Alphabet Magnets for Toddlers Fridge Large Size Cute Animal Colorful ABC Magnetic Letters 26 Uppercase Letters 0-9 Numbers Toy Set for Kids Toddlers Preschool Learning Spelling,https://m.media-amazon.com/images/I/81WbCU94jFL._AC_UL320_.jpg,0,16.99,0.0,270
B0BXCLDM5R,"Men's No Show Socks Beige Low Cut Mesh Breathable Cotton Comfortable Soft Tan Big & Tall With Tab, 10 Pairs",https://m.media-amazon.com/images/I/81qhLR76LJL._AC_UL320_.jpg,0,19.99,0.0,110
B0BD7DFGSP,Men's Fleece Jackets Lightweight Full Zip Casual Jacket Outdoor Winter Soft Coats with Zipper Pockets,https://m.media-amazon.com/images/I/911tkhzMGFL._AC_UL320_.jpg,0,36.98,0.0,110
B0BQ5VDLK3,Mens Phillipson 95_99 Polo Shirt Cotton Pique Slim Fit,https://m.media-amazon.com/images/I/61g+aKcG7nL._AC_UL320_.jpg,0,78.99,0.0,110
B0BQBWN5TL,"VEVOR Button Maker Machine, 75 mm (3 inch) Badge Punch Press Kit, Children DIY Gifts Pin Maker, Button Making Supplies with 100pcs Button Parts & Circle Cutter & Magic Book",https://m.media-amazon.com/images/I/71oYVB+yEgL._AC_UL320_.jpg,0,98.13,119.99,6
B0C73H7RBY,"Eco Living Welcome Doormats, Natural Coco Coir Mats with Non-Slip PVC Backing, Indoor Outdoor Mats for Home & Office, Floor Mats for Door with God Bless This Home Print, Beige & Black, 30""x17""",https://m.media-amazon.com/images/I/9113N8RX2JL._AC_UL320_.jpg,0,21.15,22.99,166
B0C61S6HDL,"Orange Eyeshadow Pencil, Smooth Matte Cream Eyeshadow Stick, High Pigmented Long Lasting Waterproof Eye Shadow Pencil Makeup, Hypoallergenic Eyeshadow Highlighter Stick Eye Liner (03# orange)",https://m.media-amazon.com/images/I/71IPoJNmcDL._AC_UL320_.jpg,0,6.98,0.0,48
B0BRXRTRTJ,"Fannoday USB C Cable 3ft, 3.2 Gen 2 USB A to C Cord, 10Gbps High Speed Data Transfer, 3.1A Type C Fast Charging Cable Compatible with Samsung Pixel Moto LG Phones SSD Powerbank Tablets Laptop, 2 Pack",https://m.media-amazon.com/images/I/71jO3XRtqyL._AC_UL320_.jpg,0,10.99,0.0,69
B0BR6SHN6Q,"5-Tier Kitchen Bread Rack, Microwave Oven Stand, Kitchen Baker's Rack, Heavy Duty Organizer Rack, Adjustable Utility Storage Shelf for Living Room, Garage, Home and Office (Metal, Black)",https://m.media-amazon.com/images/I/816HsAxTKZL._AC_UL320_.jpg,0,75.99,79.99,166
B09LR55VQZ,"Final ZE3000 True Wireless Earbuds, Hi-Fi Sound Quality, Maximum 35 Hours Music Playback, IPX4, aptX Adaptive, Touch Sensor, Support Lossless Music Format, Designed in Japan (Black)",https://m.media-amazon.com/images/I/71fqn0EbKnL._AC_UL320_.jpg,0,148.9,0.0,71
B09FSSB3TQ,1/4 TS Plug to Bare Speaker Wire 6.5FT with 6.5mm Male Mono Adapter - OFC Cable Ideal for DJ & DIY Projects,https://m.media-amazon.com/images/I/51iSE8IJpoL._AC_UL320_.jpg,0,11.99,0.0,69
B0BDQZYH2M,Ricky Bobby Shirt Talladega Nights Short Sleeve Shirt,https://m.media-amazon.com/images/I/61ZlS15ZdDL._AC_UL320_.jpg,0,29.99,0.0,110
B08JHBCWHG,Buffalo Games - Simple Succulent - 1000 Piece Jigsaw Puzzle,https://m.media-amazon.com/images/I/817ln46qDLL._AC_UL320_.jpg,0,24.96,0.0,227
B09J1CZZLZ,"[3Pack]Cute Cover for Airpod Pro/Airpod Pro 2 Case, Sport Water+Purple Potato+Bubble Gum Silicone Case Funny 3D Cartoon Food Design for Girls Boys Kids",https://m.media-amazon.com/images/I/611qINq-SwL._AC_UL320_.jpg,0,12.99,0.0,75
B0C61RZKND,"Thinlerain 15.6 Inch FHD 1080p Portable Monitor with IPS Touchscreen, Eye Care, Dual USB-C and HDMI Ports, Travel Monitor, Second Screen Built in Speakers & Stand, External Monitor for PC Phone",https://m.media-amazon.com/images/I/71Ihr0O-9jL._AC_UL320_.jpg,0,119.99,0.0,56
B0BPCQKW4Q,Women's 3/4 Sleeve Cropped Cardigan Sweater Elegant Crochet Knit Bolero Shrugs for Women Dresses,https://m.media-amazon.com/images/I/61OLgydMZXL._AC_UL320_.jpg,0,19.99,25.99,116
B01N0NGAFS,iFrogz Luxe Earbuds Headphone with Microphone (Black),https://m.media-amazon.com/images/I/31LkZrmIc8L._AC_UL320_.jpg,0,6.56,13.13,71
B09V8C75F3,Ballerina Bunny - Stuffed Plush Animal - Unicorn Gifts for Girls Ages 0 1 2 3 4 5 6 7 8 Years,https://m.media-amazon.com/images/I/71rzgVYBu-L._AC_UL320_.jpg,0,18.95,0.0,270
B07J4RMQYW,Women's Short Sleeve Gingham Bodycon Business Pencil Dress,https://m.media-amazon.com/images/I/61S1+MLE6lL._MCnd_AC_UL320_.jpg,0,36.99,0.0,116
B09R3Y41LC,"Pipishell Advanced Tilt TV Wall Mount Bracket Extentable for Most 50-90 inch 4K OLED QLED LCD LED Flat and Curved TVs up to 132 lbs, Max VESA 600x400mm, Fits 16, 18, 24 Inch Wood Stud Spacing",https://m.media-amazon.com/images/I/716P6cTcylL._AC_UL320_.jpg,0,49.99,59.99,69
